Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Sweet,-0.3295667182052208,-0.4237425236343583,-0.20301134336331325,2.0240301868435346,-0.4950543703279265,-0.5730497090050441,8.0,50
Not Sweet,-0.3416403872110392,-0.42121732845591103,-0.21429048058663905,2.025937438676873,-0.4838367382589524,-0.5676082419315452,7.0,51
Not Sweet,-0.33421963622115314,-0.42425131889341194,-0.20659078195649852,2.0250272368224733,-0.4877757639491286,-0.5721318521191359,7.6,52
Not Sweet,-0.33184524019111994,-0.4213683864718034,-0.20321477666979823,2.024170316487781,-0.4933590500620343,-0.5748701464987384,5.8,53
Not Sweet,-0.33039139108162086,-0.4238294687924765,-0.2056075764800392,2.024520602496438,-0.48977556779234765,-0.5755295632571211,6.2,54
Not Sweet,-0.33473965543808115,-0.4226068181493633,-0.22437169395815568,2.025899708286231,-0.48140873511415877,-0.5674997396975705,6.0,55
Not Sweet,-0.32916934113643626,-0.4243881702069443,-0.2038186986882781,2.02446981678382,-0.48739074871324917,-0.5746366007667506,7.4,56
Sweet,-0.32884033823625514,-0.42098625640256054,-0.20967289529251626,2.025135513529405,-0.4930451913166524,-0.5677749778652255,8.0,57
Not Sweet,-0.3304748639882555,-0.4235696586830364,-0.19773706492825752,2.023534565333967,-0.4975330476562544,-0.5719909624167365,6.6,58
Not Sweet,-0.33532783366077146,-0.4227944123517646,-0.21272276010766408,2.0262002595583306,-0.4873468911724233,-0.5669267283319357,6.0,59
Not Sweet,-0.3331642703249352,-0.423703855559874,-0.1956745552867496,2.0235394640250512,-0.49591286253644834,-0.5750319070453725,6.0,60
Not Sweet,-0.33234328647445704,-0.4229249705854305,-0.21479929195438055,2.0253600945300922,-0.48971742321609085,-0.5700420424738368,6.0,61
Not Sweet,-0.3442264262465552,-0.42342050285413413,-0.2246861505466816,2.028474166571316,-0.47641517928503535,-0.5567149862336083,6.0,62
Not Sweet,-0.33241165079526885,-0.42150532519896633,-0.2120725997762414,2.025295752343183,-0.48868145635465615,-0.57042417251983,6.8,63
Not Sweet,-0.33406289036282144,-0.42221832583929914,-0.21803500253157046,2.026402013469031,-0.4837882816326743,-0.5671920709664088,6.0,64
Not Sweet,-0.328266657355134,-0.4253149858210114,-0.18934539240546522,2.0225667382117267,-0.49888561380053564,-0.5794146623410845,6.2,65
Sweet,-0.3402864091915625,-0.42311923905327525,-0.20426757346465554,2.0255172209466488,-0.4968173095767864,-0.559662281372395,8.0,66
Sweet,-0.3368660757930495,-0.4240765185296888,-0.20510917102821435,2.0254895314512122,-0.49728643026354774,-0.5625657044200721,9.6,67
Not Sweet,-0.3419447023746701,-0.4240577262443403,-0.20567439493191608,2.025671346395437,-0.4923685070862158,-0.5588887538578955,5.6,68
Not Sweet,-0.3460707621340761,-0.42414266493805924,-0.20584817315048165,2.026001398989188,-0.48807180784037146,-0.5631500876648268,6.8,69
Not Sweet,-0.34433911271533435,-0.42467417036571004,-0.20623791817520468,2.025732130346035,-0.49197422685764153,-0.560268660297021,6.4,70
Sweet,-0.3402669805551975,-0.423326487182198,-0.2096290092770236,2.026035557358196,-0.4904486525115034,-0.5611298296360929,8.0,71
Not Sweet,-0.3441722335928328,-0.4241954433849263,-0.19740692498354132,2.025310307749673,-0.49107675266986395,-0.5632633716834083,7.0,72
Sweet,-0.3412641359307268,-0.4244301337360074,-0.20414757459915484,2.0253166785314867,-0.49140873103931226,-0.5641957894760954,8.4,73
