Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Not Sweet,255.5453948974609,182.0338134765625,385.4622497558594,2333.937255859375,121.81475067138672,58.25815582275391,6.4,1
Not Sweet,267.7142333984375,186.26715087890625,391.6793823242188,2666.859619140625,116.27771759033205,52.33359909057617,6.4,1
Not Sweet,252.3003692626953,171.873779296875,373.9161682128906,2216.7763671875,113.50920104980467,52.33359909057617,6.4,1
Not Sweet,250.6778564453125,171.02711486816406,363.2582092285156,2191.256103515625,109.3564224243164,50.35874557495117,6.4,1
Not Sweet,249.8666076660156,171.873779296875,383.6859436035156,2384.9775390625,113.50920104980467,54.30845260620117,6.4,1
Not Sweet,249.05535888671875,177.80047607421875,379.2451171875,2468.498291015625,104.5115203857422,51.34617233276367,6.4,1
Not Sweet,272.5817565917969,184.5738220214844,380.13330078125,2420.937744140625,107.28003692626952,45.42161560058594,6.4,1
Not Sweet,292.0518798828125,209.9738922119141,437.8638305664063,2706.300048828125,109.3564224243164,50.35874557495117,6.4,1
Not Sweet,295.2969055175781,206.5872039794922,436.97564697265625,2757.34033203125,116.96984100341795,50.35874557495117,6.4,1
Not Sweet,338.2934265136719,242.14730834960932,500.03515625,3370.98486328125,122.5068817138672,46.40904235839844,6.4,1
Not Sweet,257.9791564941406,173.56712341308594,387.2385864257813,2112.37548828125,116.27771759033205,54.30845260620117,6.4,1
Sweet,324.5020751953125,216.7472381591797,469.837646484375,2961.501708984375,146.7313995361328,56.28330612182617,8.0,2
Sweet,309.0882263183594,215.90057373046875,428.9822082519531,2840.86083984375,130.8124237060547,51.34617233276367,8.0,2
Sweet,314.7670288085937,209.9738922119141,412.1071166992188,2793.300537109375,127.3517837524414,50.35874557495117,8.0,2
Sweet,296.9194030761719,206.5872039794922,425.4295349121094,2636.699462890625,116.96984100341795,45.42161560058594,8.0,2
Sweet,309.0882263183594,209.9738922119141,425.4295349121094,2666.859619140625,112.12493896484376,45.42161560058594,8.0,2
Sweet,302.59820556640625,209.9738922119141,424.5413818359375,2749.22021484375,107.97216033935548,44.43418884277344,8.0,2
Sweet,287.99560546875,205.74053955078125,417.4360961914063,2606.539306640625,103.81938934326172,39.49705505371094,8.0,2
Sweet,293.67437744140625,210.820556640625,437.8638305664063,2712.10009765625,122.5068817138672,49.37131881713867,8.0,2
Sweet,296.9194030761719,214.2072296142578,450.298095703125,2816.500732421875,128.7360382080078,54.30845260620117,8.0,2
Sweet,321.257080078125,230.2939453125,460.06787109375,3061.262451171875,131.5045623779297,52.33359909057617,8.0,2
Sweet,267.7142333984375,183.72715759277344,382.79779052734375,2410.497802734375,120.43048858642578,51.34617233276367,8.0,2
Sweet,284.7505798339844,197.2738494873047,405.8899841308594,2618.139404296875,119.04623413085938,49.37131881713867,8.0,2
Sweet,223.90643310546875,150.70706176757812,366.8108520507813,2553.1787109375,121.81475067138672,50.35874557495117,8.0,2
Sweet,276.6380310058594,185.4204864501953,381.0214538574219,2558.978759765625,121.12261962890624,49.37131881713867,8.0,2
Sweet,279.0718078613281,187.9604949951172,373.0279846191406,2585.658935546875,128.04391479492188,51.34617233276367,8.0,2
Sweet,279.0718078613281,191.34716796875,369.475341796875,2401.2177734375,108.66429138183594,44.43418884277344,8.0,2
Sweet,291.2406311035156,198.1205291748047,403.2254943847656,2440.657958984375,121.81475067138672,53.32102584838867,8.0,2
Sweet,287.99560546875,193.0405120849609,382.79779052734375,2394.257568359375,122.5068817138672,47.39646911621094,8.0,2
Sweet,262.8466796875,173.56712341308594,366.8108520507813,2275.936767578125,114.20132446289062,51.34617233276367,8.0,2
Sweet,266.0917053222656,184.5738220214844,381.0214538574219,2215.6162109375,114.20132446289062,45.42161560058594,8.0,2
Sweet,279.0718078613281,191.34716796875,391.6793823242188,2477.7783203125,112.12493896484376,50.35874557495117,8.0,2
Sweet,315.5782775878906,218.44058227539065,452.0744018554688,2858.260986328125,124.58326721191406,50.35874557495117,8.0,2
Sweet,305.0319519042969,213.36056518554688,421.87689208984375,3058.942626953125,121.12261962890624,52.33359909057617,8.0,2
Sweet,346.4059753417969,238.76063537597656,524.0155029296875,3220.183837890625,135.65733337402344,51.34617233276367,8.0,2
Sweet,309.0882263183594,213.36056518554688,443.1927795410156,2694.699951171875,126.65965270996094,52.33359909057617,8.0,2
Sweet,330.1808776855469,231.1406097412109,477.83111572265625,2939.461669921875,130.8124237060547,49.37131881713867,8.0,2
Sweet,349.6510009765625,244.68731689453125,519.57470703125,3308.344482421875,141.19436645507812,56.28330612182617,8.0,2
Sweet,364.2536010742188,266.7007141113281,595.9566040039062,3745.667724609375,141.88648986816406,51.34617233276367,8.0,2
Sweet,321.257080078125,225.21392822265625,489.377197265625,2949.90185546875,143.270751953125,58.25815582275391,8.0,2
Sweet,304.220703125,214.2072296142578,463.6205139160156,3036.90234375,134.9652099609375,56.28330612182617,8.0,2
Sweet,339.10467529296875,237.91395568847656,515.1339111328125,3054.302490234375,131.5045623779297,48.38389205932617,8.0,2
Sweet,315.5782775878906,226.0605926513672,482.27191162109375,2788.66064453125,121.81475067138672,48.38389205932617,8.0,2
Not Sweet,282.3168029785156,192.19384765625,400.5610046386719,2618.139404296875,134.2730712890625,52.33359909057617,7.2,3
Not Sweet,294.48565673828125,196.4271850585937,410.330810546875,2657.57958984375,123.8911361694336,52.33359909057617,7.2,3
Not Sweet,268.5254821777344,188.80715942382807,363.2582092285156,2330.457275390625,110.74068450927734,48.38389205932617,7.2,3
Not Sweet,273.3930053710937,191.34716796875,381.90960693359375,2470.818115234375,125.96752166748048,51.34617233276367,7.2,3
Not Sweet,302.59820556640625,208.28054809570312,420.9887390136719,2415.1376953125,125.96752166748048,47.39646911621094,7.2,3
Not Sweet,322.0683288574219,213.36056518554688,442.30462646484375,2504.45849609375,131.5045623779297,54.30845260620117,7.2,3
Not Sweet,307.4657287597656,218.44058227539065,445.8572692871094,2862.901123046875,141.19436645507812,57.27073287963867,7.2,3
Not Sweet,326.93585205078125,227.75393676757807,472.5021362304688,2930.181640625,148.11566162109375,59.245582580566406,7.2,3
Not Sweet,382.1011962890625,256.5406799316406,516.0220336914062,2926.70166015625,136.34945678710938,53.32102584838867,7.2,3
Not Sweet,288.8068542480469,202.35386657714844,431.6466674804688,2583.339111328125,138.4258575439453,57.27073287963867,7.2,3
Not Sweet,283.1280822753906,192.19384765625,409.442626953125,2444.137939453125,121.81475067138672,47.39646911621094,7.2,3
Not Sweet,275.8267822265625,192.19384765625,380.13330078125,2475.458251953125,114.20132446289062,50.35874557495117,7.2,3
Not Sweet,254.734130859375,176.1071319580078,341.0541687011719,2090.33544921875,100.3587417602539,43.44676208496094,7.2,3
Not Sweet,289.6181030273437,198.1205291748047,413.8834533691406,2604.21923828125,114.8934555053711,48.38389205932617,7.2,3
Not Sweet,287.99560546875,202.35386657714844,428.0940246582031,2444.137939453125,119.73835754394533,47.39646911621094,7.2,3
Not Sweet,292.0518798828125,201.5072021484375,410.330810546875,2685.419677734375,114.8934555053711,48.38389205932617,7.2,3
Not Sweet,264.4692077636719,176.1071319580078,361.4819030761719,2155.2958984375,117.66197204589844,47.39646911621094,7.2,3
Not Sweet,227.9627227783203,166.7937774658203,333.9488830566406,2365.25732421875,125.27539825439452,46.40904235839844,7.2,3
Not Sweet,265.28045654296875,184.5738220214844,392.5675659179688,2309.576904296875,125.27539825439452,52.33359909057617,7.2,3
Not Sweet,276.6380310058594,189.65383911132807,398.7846984863281,2272.456787109375,111.43280792236328,46.40904235839844,7.2,3
Not Sweet,270.959228515625,197.2738494873047,402.33734130859375,2447.617919921875,121.12261962890624,51.34617233276367,7.2,3
Not Sweet,292.0518798828125,199.81385803222656,393.4557189941406,2462.6982421875,132.88882446289062,56.28330612182617,7.2,3
Not Sweet,326.1246032714844,216.7472381591797,467.1731567382813,3038.0625,137.04159545898438,56.28330612182617,7.2,3
Not Sweet,283.9393310546875,198.1205291748047,419.21240234375,2425.577880859375,112.81707000732422,47.39646911621094,7.2,3
Not Sweet,278.2605285644531,199.81385803222656,412.9952697753906,2787.50048828125,129.4281768798828,55.29587936401367,7.2,3
Not Sweet,340.7272033691406,229.447265625,475.1666259765625,3034.582275390625,128.7360382080078,43.44676208496094,7.2,3
Not Sweet,271.7705078125,205.74053955078125,461.84417724609375,3321.1044921875,131.5045623779297,53.32102584838867,7.2,3
Not Sweet,292.0518798828125,209.9738922119141,446.7454223632813,2830.4208984375,130.12030029296875,53.32102584838867,7.2,3
Not Sweet,304.220703125,219.2872467041016,461.84417724609375,2880.30126953125,118.3541030883789,50.35874557495117,7.2,3
Not Sweet,278.2605285644531,189.65383911132807,384.5740966796875,2201.6962890625,127.3517837524414,57.27073287963867,7.2,3
Not Sweet,284.7505798339844,195.5805206298828,429.870361328125,2373.37744140625,116.27771759033205,43.44676208496094,7.2,3
Not Sweet,273.3930053710937,185.4204864501953,386.3504333496094,2310.737060546875,112.81707000732422,46.40904235839844,7.2,3
Sweet,246.62158203125,173.56712341308594,361.4819030761719,2396.57763671875,105.20364379882812,47.39646911621094,8.6,4
Sweet,279.883056640625,186.26715087890625,357.04107666015625,2375.697509765625,98.28235626220705,41.47190856933594,8.6,4
Sweet,265.28045654296875,186.26715087890625,361.4819030761719,2289.85693359375,101.05087280273438,45.42161560058594,8.6,4
Sweet,289.6181030273437,204.04721069335932,394.3438720703125,2473.13818359375,105.8957748413086,42.45933532714844,8.6,4
Sweet,255.5453948974609,178.6471405029297,328.6199035644531,2155.2958984375,87.20828247070312,36.5347785949707,8.6,4
Sweet,317.2007751464844,224.3672637939453,460.9560241699219,2716.739990234375,128.7360382080078,50.35874557495117,8.6,4
Sweet,270.959228515625,190.50050354003903,377.46881103515625,2252.736572265625,106.58790588378906,46.40904235839844,8.6,4
Sweet,268.5254821777344,189.65383911132807,390.7912292480469,2459.218017578125,109.3564224243164,45.42161560058594,8.6,4
Sweet,258.7904052734375,178.6471405029297,368.5871887207031,2252.736572265625,115.58558654785156,49.37131881713867,8.6,4
Sweet,261.22418212890625,185.4204864501953,372.1398315429688,2373.37744140625,112.12493896484376,47.39646911621094,8.6,4
Sweet,281.50555419921875,194.7338409423828,405.0018310546875,2526.49853515625,121.12261962890624,53.32102584838867,8.6,4
Sweet,262.0354309082031,176.95379638671875,380.13330078125,2322.337158203125,113.50920104980467,49.37131881713867,8.6,4
Sweet,261.22418212890625,172.720458984375,365.9226989746094,2052.05517578125,114.20132446289062,48.38389205932617,8.6,4
Sweet,250.6778564453125,172.720458984375,354.3765869140625,2054.375244140625,114.20132446289062,50.35874557495117,8.6,4
Sweet,254.734130859375,174.41378784179688,365.0345458984375,2126.295654296875,116.27771759033205,52.33359909057617,8.6,4
