Class,730nm,760nm,810nm,860nm,900nm,940nm,Samle No.,Brix (%)
Sweet,-0.3354830188484908,-0.42138715426867296,-0.2167833847654912,2.0263269365026466,-0.4887368239681202,-0.5639365546518715,80,9.2
Sweet,-0.32830649325666655,-0.42301689622466976,-0.2098494192573128,2.02494182202096,-0.4928772390365851,-0.5708917742457258,81,8.6
Sweet,-0.34382422121133,-0.41979251618071656,-0.21997844075378675,2.0271847878083933,-0.4821032865242772,-0.5614863231382827,82,8.4
Sweet,-0.3381856923217616,-0.4291001156113619,-0.19233206099961006,2.0235780074485574,-0.489328186544302,-0.5746319519715222,83,8.8
Sweet,-0.32329386015706574,-0.413575826594121,-0.21166058741805904,2.024366765878454,-0.5000828779048063,-0.5757536138044024,84,9.2
Sweet,-0.32891637636876625,-0.42389429249213784,-0.1888678081259183,2.0220034081534357,-0.4932165596459418,-0.5871083715206709,85,10.0
Sweet,-0.332986673034006,-0.41812715858709715,-0.21357546011338374,2.0256904253302155,-0.4959196786458687,-0.565081454949859,86,8.8
Sweet,-0.3094419252119951,-0.4207669035133859,-0.207793720272432,2.0227212686548945,-0.4959158641155939,-0.5888028555414878,87,8.4
Sweet,-0.32024292793721426,-0.42217377815647267,-0.17872893421199168,2.0199043320319325,-0.5068299960715462,-0.591928695654708,88,8.4
Average,-0.326301920108286,-0.42335085326540184,-0.20063107144820805,2.0236192492024117,-0.4980091051401106,-0.5753262992404046,89,8.0
Average,-0.315703962895114,-0.41769882902548,-0.22004452936340713,2.0248335445806873,-0.4935386448260579,-0.5778475784706282,90,7.4
Sweet,-0.32758280770753556,-0.4216972790179341,-0.2191489518993079,2.0260331297513,-0.49164564496306074,-0.5659584461634624,91,9.4
Sweet,-0.3301725282901829,-0.41117254673089043,-0.21655745080984248,2.0255399731913037,-0.499987773522727,-0.5676496738376616,92,10.0
Sweet,-0.3466817213015401,-0.4199029009023006,-0.255867843060512,2.031320649359858,-0.46665911447689085,-0.5422090696186148,93,8.8
